assignment_id,SLS,nama_usaha_bang,jenis_prelist,ada_bang_usaha_label,link_fasih
8f37be3b-8057-430f-87b8-b950c55a21f5,71031000140001,PENGOLAHAN KOPRA (YOHANIS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/8f37be3b-8057-430f-87b8-b950c55a21f5
8fec5862-dd37-4f85-b167-c15a1df71529,71030900130006,KANTOR PERTANIAN,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/8fec5862-dd37-4f85-b167-c15a1df71529
93bdc113-7aae-4f1d-9c4a-42ac9a4bbb3d,71030600170003,KOPRA (AYUB),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/93bdc113-7aae-4f1d-9c4a-42ac9a4bbb3d
957dae8a-068d-455e-b2ee-ef98d0ddcec0,71031100020001,TK KALVARI KENDAHE,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/957dae8a-068d-455e-b2ee-ef98d0ddcec0
991737b5-1487-4e8f-be1b-d9a31c07e048,71030500160003,WARUNG SEMBAKO (USI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/991737b5-1487-4e8f-be1b-d9a31c07e048
a2df75d9-0353-4703-a003-7c9b2bba78ee,71030500090002,BENSIN ECERAN ( RINDA BUDINGKALOR) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/a2df75d9-0353-4703-a003-7c9b2bba78ee
a464a465-b5a8-46e7-87b5-a5e4199019b5,71031100080004,WARUNG SEMBAKO (JULENI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/a464a465-b5a8-46e7-87b5-a5e4199019b5
ae1e5909-9ebb-4c03-a08e-a7a0495ca5f1,71030500110001,PENGOLAHAN KUE BASAH (YOLANDA VERONICA DAMAR),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/ae1e5909-9ebb-4c03-a08e-a7a0495ca5f1
b077fa51-7536-49cc-b8cb-022c1317a356,71030400120001,USAHA PEMBUATAN PINTU JENDELA DAN LEMARI (MARWAN),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/b077fa51-7536-49cc-b8cb-022c1317a356
b1c5245b-edc2-49b0-99fd-924ddae5554a,71031000230003,USAHA JUALPAKAIAN (MARTJE LALELAH),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/b1c5245b-edc2-49b0-99fd-924ddae5554a
be10def7-b90e-4bb6-a303-3c824cb5ccd4,71031100010001,USAHA KANTIN ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/be10def7-b90e-4bb6-a303-3c824cb5ccd4
bf10a8dc-073d-46cc-8421-ac25dd33ba8b,71030900130007,MESS PEGAWAI STASIUN PSDKP TAHUNA,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/bf10a8dc-073d-46cc-8421-ac25dd33ba8b
c5236164-5420-4274-bb85-3e6bcd3ee80f,71030500110002,BENGKEL MOTOR (FERI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/c5236164-5420-4274-bb85-3e6bcd3ee80f
d2810eff-12ca-4fea-bf10-ebac60741321,71031000250001,BANGUNAN UNIT PENUNJANG ,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/d2810eff-12ca-4fea-bf10-ebac60741321
d79e2e57-145c-4256-a0c6-77f9731b288b,71031000050001,REPARASI HP (SYAHRIL),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/d79e2e57-145c-4256-a0c6-77f9731b288b
e1cead11-a8ce-441c-8428-7b696b2dfb6e,71030400170001,BENSIN BENYAMIN MAKALUASE,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e1cead11-a8ce-441c-8428-7b696b2dfb6e
e7acabf6-2ca6-4dce-81d4-c92ce4f53573,71031100010001,WARUNG SEMBAKO (ANISE) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e7acabf6-2ca6-4dce-81d4-c92ce4f53573
